"Plate Number/Position Number",Prestw number,Chemical name,Structure,Broad Therapeutic class,Reported therapeutic effect,Inhibition Index
05B03,Prestw-332,Practolol,,Cardiovascular,Antianginal 'Antihypertensive,0.272937103
04E06,Prestw-285,Chenodiol,,Gastroenterology,Cholagogue 'Choleretic,0.272536268
18E06,Prestw-2032,Pirfenidone,,Immunology,Immunosuppressant 'Anti-inflammatory,0.27231805
18A07,Prestw-1931,Oxiracetam,,Central Nervous System,CNS Stimulant 'Nootropic,0.271361989
12A04,Prestw-883,Digoxigenin,,Diagnostic,Diagnostic,0.271179316
17B03,Prestw-740,Ebselen,,Metabolism 'Central Nervous System,Anti-inflammatory 'Anti-oxidant 'Antidiabetic 'CNS Stimulant,0.271035941
19F04,Prestw-2035,Frovatriptan succinate,,Cardiovascular,Antimigraine,0.27058611
14A03,Prestw-1042,Tridihexethyl chloride,,Neuromuscular,Antispastic,0.268919417
17F07,Prestw-1898,Isaxonine,,Neuromuscular,Neurotrophic,0.268575822
17C09,Prestw-1846,Timonacic,,Metabolism 'Oncology,Anti-oxidant 'Antineoplastic,0.267858287
09H08,Prestw-717,Finasteride,,Endocrinology,Anti-alopecia 'Antineoplastic,0.2657757
06H09,Prestw-478,Felodipine,,Neuromuscular,Antianginal 'Antihypertensive,0.26497527
07A04,Prestw-1336,Rofecoxib,,Metabolism,Anti-inflammatory,0.263640978
12G03,Prestw-942,Bretylium tosylate,,Cardiovascular 'Central Nervous System,Anesthetic 'Antiarrhythmic 'Antihypertensive,0.262747116
09C09,Prestw-1165,Acitretin,,Dermatology,Antipsoriatic,0.260876544
09H11,Prestw-720,Cefuroxime sodium salt,,Infectiology,Antibacterial,0.260876544
02C09,Prestw-108,Nomifensine maleate,,Central Nervous System,Antidepressant,0.260785273
12G04,Prestw-943,Pralidoxime chloride,,Neuromuscular,Antidote,0.25898274
15C02,Prestw-1249,Famciclovir,,Infectiology,Antiviral,0.258686273
03D04,Prestw-193,Oxolinic acid,,Metabolism,Antibacterial,0.258573009
18D05,Prestw-1982,Benziodarone,,Cardiovascular,Vasodilator 'Antigout,0.258455165
17G04,Prestw-1905,Acedoben,,Immunology,Immunomodulator,0.257249023
06D07,Prestw-436,Digitoxigenin,,Cardiovascular,Cardiotonic 'Antineoplastic,0.257197007
11B04,Prestw-813,Bucladesine sodium salt,,Cardiovascular,,0.256272458
07E06,Prestw-525,Rifampicin,,Infectiology 'Metabolism,Antibacterial 'Antineoplastic,0.25582438
05B08,Prestw-337,Procainamide hydrochloride,,Cardiovascular 'Neuromuscular,Antiarrhythmic 'Local anesthetic 'Vasodilator,0.255674845
11C04,Prestw-823,Sulfamonomethoxine,,Metabolism,Antibacterial,0.255318472
09B07,Prestw-656,Lanatoside C,,Cardiovascular,Cardiotonic 'Antineoplastic,0.253465001
17H10,Prestw-1924,Brivudine,,Infectiology,Antiviral,0.253405087
18B05,Prestw-1944,Fenclozic acid,,Rheumatology,Anti-inflammatory 'Analgesic 'Antipyretic,0.253316337
05F05,Prestw-374,Methylergometrine maleate,,Neuromuscular,Hemostatic 'Oxytocic,0.251822534
03F04,Prestw-213,Fenspiride hydrochloride,,Respiratory,Antitussive 'Bronchodilator,0.251769912
05A06,Prestw-325,Ascorbic acid,,Metabolism,Anti-oxidant 'CNS Stimulant 'Hemostatic,0.251334899
18C08,Prestw-1967,Tulobuterol Hydrochloride,,Respiratory,Antiasthmatic 'Bronchodilator,0.251005856
18H10,Prestw-1985,Clevidipine,,Cardiovascular,Antihypertensive,0.250766841
17A02,Prestw-2098,Allopurinol,,Neuromuscular,Antigout,0.250329938
15A06,Prestw-1414,Fleroxacin,,Infectiology,Antibacterial,0.250210615
18D08,Prestw-2016,Acetanilide,,Central Nervous System 'Rheumatology,Antipyretic 'Analgesic,0.249970123
11A10,Prestw-809,Dichlorphenamide,,Ophthalmology,Antiglaucoma,0.249899831
15A08,Prestw-1482,Valproic acid,,Central Nervous System,Anticonvulsant,0.249546859
13C06,Prestw-1268,Guaiacol,,Respiratory,Expectorant,0.24937169
11C05,Prestw-824,Benzthiazide,,Cardiovascular,Antihypertensive 'Diuretic,0.248678729
18F11,Prestw-1987,Tiagabine hydrochloride,,Central Nervous System,Anticonvulsant,0.24825718
12B06,Prestw-895,Aminohippuric acid,,Diagnostic,Diagnostic,0.247313177
11G07,Prestw-866,Azacytidine-5,,Oncology,Antineoplastic,0.247114192
17C06,Prestw-1481,Cyclophosphamide,,Immunology 'Oncology,Antineoplastic 'Immunosuppressant,0.245870972
06A07,Prestw-1796,Delavirdine,,Infectiology,,0.243373681
06C05,Prestw-424,"Cephalosporanic acid, 7-amino",,Infectiology,Antibacterial,0.243077769
14B11,Prestw-1060,Oxaprozin,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.242642449
05D09,Prestw-1603,Pemirolast potassium,,Ophthalmology,Anti-inflammatory 'Antipruritic 'Antihistaminic,0.242606243
11B09,Prestw-818,Nadolol,,Cardiovascular,Antianginal 'Antihypertensive,0.240169174
17D08,Prestw-1863,D-phenylalanine,,Central Nervous System 'Dermatology,Analgesic 'Anti-vitiligo 'Antidepressant,0.240028189
11C08,Prestw-827,Propantheline bromide,,Neuromuscular,Antispastic,0.239634941
19G07,Prestw-1978,Phenoxypropazine dihydrochloride,,Central Nervous System,Antidepressant,0.237836819
19G08,Prestw-1977,Valganciclovir hydrochloride,,Infectiology,Antiviral,0.236894393
07D03,Prestw-512,Iohexol,,Diagnostic,Contrastant,0.235876829
07H03,Prestw-552,Selegiline hydrochloride,,Central Nervous System,Antiparkinsonian,0.235826072
17A10,Prestw-2105,Levocarnitine,,Metabolism,Antilipemic,0.235466718
12D10,Prestw-919,Bacitracin,,Metabolism,Antibacterial,0.234966027
05A08,Prestw-327,Cefoperazone dihydrate,,Infectiology,Antibacterial,0.233926351
05H04,Prestw-393,Hemicholinium bromide,,Neuromuscular,Curarizing,0.233828824
12C02,Prestw-901,Hymecromone,,Metabolism,Muscle relaxant,0.23379907
03A02,Prestw-161,Isoniazid,,Infectiology,Antibacterial,0.233683628
10G02,Prestw-781,Clobetasol propionate,,Metabolism,Anti-inflammatory 'Antineoplastic,0.233516992
19A04,Prestw-2046,Pirprofen,,Rheumatology,Anti-inflammatory,0.233313176
18E10,Prestw-2041,Chloramine-T hydrate,,Dermatology,Antibacterial 'Antifungal 'Antiviral,0.228857109
08C02,Prestw-1328,Reboxetine mesylate,,Central Nervous System,Antidepressant,0.228828629
04H07,Prestw-316,Glibenclamide,,Endocrinology,Antidiabetic,0.228164082
10H03,Prestw-792,Propidium iodide,,Infectiology,Antibacterial,0.227341654
17E03,Prestw-1870,Anisindione,,Hematology,Anticoagulant,0.226856301
06D08,Prestw-437,Digoxin,,Cardiovascular,Cardiotonic 'Antineoplastic 'Cardioprotective,0.226718052
09C05,Prestw-1432,Loratadine,,Allergology,Antihistaminic,0.226666201
18C06,Prestw-1963,Fasudil Hydrochloride,,Cardiovascular,Vasodilator,0.226546628
12B04,Prestw-893,Felbinac,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.226307964
18G05,Prestw-1968,Malotilate,,Metabolism,Hepatoprotectant,0.226188105
07D06,Prestw-515,Trimethadione,,Central Nervous System,Anticonvulsant 'Antiepileptic,0.226029947
05D05,Prestw-354,Clopamide,,Metabolism,Antihypertensive 'Diuretic,0.225441512
08A07,Prestw-566,Eserine hemisulfate salt,,Central Nervous System,Antiglaucoma,0.225227828
02F06,Prestw-1811,Azilsartan medoxomil,,Cardiovascular,Antihypertensive,0.223351633
07G02,Prestw-541,Ciclopirox ethanolamine,,Infectiology 'Metabolism,Antibacterial 'Antifungal,0.222527705
08B04,Prestw-1467,Troglitazone,,Metabolism,Antidiabetic 'Anti-inflammatory,0.222027117
15G04,Prestw-1266,Gemcitabine,,Oncology,Antineoplastic,0.220801103
04B11,Prestw-260,Praziquantel,,Infectiology,Antihelmintic,0.22066033
17C11,Prestw-1851,Metacetamol,,Central Nervous System,Analgesic 'Antipyretic,0.22065475
03B03,Prestw-172,Etofylline,,Cardiovascular 'Respiratory,Antispastic 'Bronchodilator 'Cardiotonic 'Diuretic,0.219081858
03B06,Prestw-175,Aceclofenac,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.218196903
19B08,Prestw-2002,Ibuprofen Piconol,,Central Nervous System 'Rheumatology,Anti-inflammatory 'Antipyretic 'Analgesic,0.217386182
13F03,Prestw-1012,Trapidil,,Cardiovascular,Vasodilator,0.215585002
01G07,Prestw-66,Minaprine dihydrochloride,,Central Nervous System,Anti-Alzheimer 'Antidepressant,0.214413639
18A11,Prestw-1938,Carbazochrome sodium sulfonate,,Hematology,Hemostatic 'Anti-haemorrhoids,0.214277178
07E05,Prestw-524,Tiabendazole,,Infectiology 'Metabolism,Antifungal 'Antihelmintic 'Antiparasitic,0.213594451
04D10,Prestw-279,"Methylprednisolone, 6-alpha",,Endocrinology,Anti-inflammatory 'Immunosuppressant,0.212656328
06D03,Prestw-432,Corticosterone,,Endocrinology,Anti-inflammatory 'Immunosuppressant,0.212387448
15D02,Prestw-1203,5-fluorouracil,,Oncology,Antineoplastic,0.212274387
03H04,Prestw-233,(L) Hyoscyamine,,Central Nervous System 'Ophthalmology,Antiemetic 'Antispastic 'Mydriatic,0.212223451
10G09,Prestw-788,Hexylcaine hydrochloride,,Dermatology,Anesthetic,0.21219149
07E08,Prestw-527,Tenoxicam,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory 'Antipyretic,0.211513408
02H03,Prestw-1474,Chloroxine,,Dermatology,Antifungal,0.211284449
03H07,Prestw-236,Dilazep dihydrochloride,,Cardiovascular 'Hematology,Antiplatelet 'Vasodilator,0.211283186
02E04,Prestw-123,Dehydrocholic acid,,Gastroenterology,Choleretic,0.210088601
07G03,Prestw-542,Probenecid,,Metabolism,Antigout 'Uricosuric,0.209280095
02D09,Prestw-118,Nalbuphine hydrochloride,,Central Nervous System,Analgesic,0.208856516
08C08,Prestw-587,Cilostazol,,Hematology,Anticoagulant,0.208157368
14E06,Prestw-1493,Topiramate,,Central Nervous System,Anticonvulsant 'Antimigraine,0.207514291
01G04,Prestw-63,Nifedipine,,Cardiovascular,Antianginal 'Antihypertensive 'Vasodilator,0.206295702
18B10,Prestw-1952,Prosultiamine,,Metabolism 'Infectiology,Antianemic 'Antiviral,0.205592957
05H05,Prestw-394,Kanamycin A sulfate,,Infectiology,Antibacterial,0.205253448
06G02,Prestw-461,Tropisetron hydrochloride,,Central Nervous System,Antiemetic,0.204862824
02G09,Prestw-148,Canrenoic acid potassium salt,,Endocrinology,Antihypertensive 'Diuretic,0.204218079
05D02,Prestw-351,Chlorthalidone,,Metabolism,Antihypertensive 'Diuretic,0.203595491
19D02,Prestw-2081,Prasugrel,,Cardiovascular,Antiplatelet,0.203014191
10D07,Prestw-756,Diethylstilbestrol,,Endocrinology,Antineoplastic,0.202310949
18B04,Prestw-1942,L-tryptophan,,Central Nervous System,Antidepressant,0.200493965
08D09,Prestw-598,Xylazine,,Central Nervous System,Analgesic 'Sedative,0.200111136
11D03,Prestw-832,Cefoxitin sodium salt,,Metabolism,Antibacterial,0.20002544
11B11,Prestw-820,Aminophylline,,Cardiovascular 'Central Nervous System 'Metabolism 'Respiratory,Bronchodilator 'CNS Stimulant 'Diuretic 'Muscle relaxant 'Vasodilator,0.199185932
17F05,Prestw-1896,Deferiprone,,Hematology,Chelating,0.199077455
19D04,Prestw-2083,Seratrodast,,Respiratory,Antiasthmatic,0.19891464
05F10,Prestw-1152,Nefazodone hydrochloride,,Central Nervous System,Antidepressant,0.197646351
19F06,Prestw-2013,Azasetron hydrochloride,,Central Nervous System,Antiemetic,0.197501001
13E09,Prestw-1008,Gabexate mesilate,,Hematology,Anticoagulant,0.195347956
16H08,Prestw-1768,Triclabendazole,,Infectiology,Antihelmintic 'Antifungal,0.194847069
11C06,Prestw-825,Trichlormethiazide,,Cardiovascular,Antihypertensive 'Diuretic,0.194377842
12B08,Prestw-897,Pipemidic acid,,Metabolism,Antibacterial,0.193746118
03A06,Prestw-165,Ethosuximide,,Central Nervous System,Anticonvulsant,0.193362832
17B02,Prestw-2106,Carbenicillin disodium salt,,Infectiology,Antibacterial,0.192619643
04D06,Prestw-275,Fenofibrate,,Metabolism,Hypocholesterolemic 'Lipid-lowering 'Uricosuric,0.192596298
18G08,Prestw-2034,Stiripentol,,Central Nervous System,Antiepileptic,0.190734175
13F11,Prestw-1020,Rimexolone,,Metabolism,Anti-inflammatory,0.189272472
14G09,Prestw-1108,Mephenytoin,,Central Nervous System,Anticonvulsant,0.188871473
10H07,Prestw-796,Lithocholic acid,,Metabolism,Cholagogue 'Choleretic,0.188766373
16D11,Prestw-1776,Phenprobamate,,Central Nervous System 'Neuromuscular,Muscle relaxant 'Sedative 'Anticonvulsant 'Anxiolytic,0.187570254
02A03,Prestw-1424,Fulvestrant,,Endocrinology,Antineoplastic,0.187005128
19E02,Prestw-2065,Temocapril,,Cardiovascular,Antihypertensive,0.18680447
11G11,Prestw-870,Luteolin,,Respiratory,Expectorant 'Antineoplastic,0.186173562
17H06,Prestw-1920,Amezinium metilsulfate,,Central Nervous System,Antihypotensive,0.185700557
05C11,Prestw-350,Clozapine,,Central Nervous System,Antiparkinsonian 'Antipsychotic,0.185601781
16B10,Prestw-1711,Felbamate,,Central Nervous System,Antiepileptic,0.18520381
18D02,Prestw-1973,Ecabet sodium,,Ophthalmology 'Gastroenterology,Lubricant 'Antiulcer,0.185037645
15A04,Prestw-1399,Doxycycline hydrochloride,,Metabolism,Antibacterial,0.18495826
08F05,Prestw-1177,Carbidopa,,Central Nervous System,Antiparkinsonian,0.184374305
09F08,Prestw-1834,Dasabuvir,,Infectiology,Antiviral,0.183997488
05E11,Prestw-370,Benzbromarone,,Cardiovascular,Antianginal 'Antigout 'Antispastic 'Uricosuric 'Vasodilator 'Antifungal,0.183700007
19A10,Prestw-1994,Barnidipine Hydrochloride,,Cardiovascular,Antihypertensive,0.183364617
08H07,Prestw-1488,Penciclovir,,Infectiology,Antiviral,0.18246277
06B02,Prestw-1831,Dienogest,,Endocrinology,Contraceptive,0.182246678
11F07,Prestw-856,Tolmetin sodium salt dihydrate,,Metabolism,Anti-inflammatory,0.181212834
04B09,Prestw-258,Antazoline hydrochloride,,Allergology 'Central Nervous System,Antihistaminic 'Sedative,0.180990495
04F10,Prestw-299,Mifepristone,,Endocrinology,Abortifacient,0.18074037
07G08,Prestw-547,Molsidomine,,Cardiovascular 'Hematology,Antianginal 'Anticoagulant 'Antiplatelet 'Vasodilator,0.180703832
11G05,Prestw-1837,Aclidinium bromide,,Respiratory,Bronchodilator,0.180678602
18G11,Prestw-2063,Doripenem monohydrate,,Infectiology,Antibacterial,0.180018325
03B11,Prestw-180,Flutamide,,Oncology,Antineoplastic,0.179867257
03F03,Prestw-212,Pyrantel tartrate,,Infectiology,Antihelmintic,0.179590708
11E10,Prestw-1379,Clinafloxacin,,Infectiology,Antibacterial,0.178236398
05H06,Prestw-395,Amikacin hydrate,,Infectiology,Antibacterial,0.178092212
18H03,Prestw-2028,Cefpirome,,Infectiology,Antibacterial,0.1775485
14A11,Prestw-1050,Quinethazone,,Cardiovascular,Antihypertensive 'Diuretic,0.177420247
02E03,Prestw-1471,Amfepramone hydrochloride,,Central Nervous System,,0.176532406
19H07,Prestw-2092,Procaterol hydrochloride,,Central Nervous System,Bronchodilator,0.176013697
10H02,Prestw-791,(R) Naproxen sodium salt,,Metabolism,Anti-inflammatory,0.175798162
02A09,Prestw-88,Amidopyrine,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory 'Antipyretic,0.175264083
02B10,Prestw-99,Mianserine hydrochloride,,Cardiovascular,Antidepressant 'Anxiolytic,0.174974181
18C02,Prestw-1959,Bendazac,,Ophthalmology,Anticataract 'Anti-inflammatory 'Analgesic,0.174640481
08G04,Prestw-623,Pyridoxine hydrochloride,,Metabolism,Vitamin,0.174594354
18A05,Prestw-1929,Carbazochrome,,Hematology 'Dermatology,Hemostatic 'Anti-haemorrhoids,0.174242122
10H04,Prestw-793,Cloperastine hydrochloride,,Respiratory,Antitussive,0.174192574
04E03,Prestw-282,Fenoterol hydrobromide,,Neuromuscular 'Respiratory,Bronchodilator 'Tocolytic,0.173886943
02D08,Prestw-117,Chlorpheniramine maleate,,Allergology 'Central Nervous System,Antihistaminic 'Antitussive 'Sedative,0.173560907
12D02,Prestw-911,(+) Isoproterenol-(+)-bitartrate salt,,Respiratory,Antiasthmatic 'Bronchodilator 'Vasodilator,0.173343204
15G02,Prestw-1265,Gatifloxacin,,Infectiology,Antibacterial,0.173265937
07E03,Prestw-522,Thiostrepton,,Infectiology,Antibacterial 'Antiviral,0.172836477
08C05,Prestw-584,Yohimbine hydrochloride,,Cardiovascular,Erectile dysfunction treatment 'Vasodilator,0.172638364
02A10,Prestw-1179,Busulfan,,Oncology,Antineoplastic,0.172618724
18E03,Prestw-2025,Glutathione,,Metabolism,Dietary supplement 'Liver protectant,0.172608852
13H08,Prestw-1037,Zalcitabine,,Metabolism,Antiviral,0.172138731
18A08,Prestw-1933,Zaltoprofen,,Central Nervous System,Anti-inflammatory 'Antipyretic 'Analgesic,0.171134924
19H11,Prestw-2096,Riboflavine,,Metabolism 'Ophthalmology,Antianemic 'Keratolytic,0.171113083
02A05,Prestw-84,Moroxidine hydrochloride,,Infectiology,Antiviral,0.171024261
18G04,Prestw-1965,Cefsulodin Sodium Salt Hydrate,,Infectiology,Antibacterial,0.170258535
03G07,Prestw-226,Griseofulvin,,Infectiology 'Metabolism,Antifungal 'Anti-inflammatory 'Antifungal,0.170243363
10A10,Prestw-729,Sulfanilamide,,Infectiology,Antibacterial,0.168717108
04D04,Prestw-273,Cortisone,,Endocrinology 'Metabolism,Anti-inflammatory 'Immunosuppressant,0.166983492
05A11,Prestw-330,Bisoprolol hemifumarate,,Cardiovascular,Antianginal 'Antiarrhythmic 'Antihypertensive,0.166145169
08D02,Prestw-1274,Emedastine difumarate,,Allergology,Antihistaminic,0.164769949
12D08,Prestw-917,Flurbiprofen,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.164609854
02F08,Prestw-137,Clindamycin hydrochloride,,Infectiology,Antibacterial,0.163559276
12C11,Prestw-910,Nisoxetine hydrochloride,,Central Nervous System,Antidepressant,0.163442898
17H05,Prestw-1919,Trehalose dihydrate,,Neuromuscular,Muscle relaxant,0.163200718
10D03,Prestw-752,Phenazopyridine hydrochloride,,Central Nervous System,Analgesic 'Antidotes,0.163200472
03C04,Prestw-183,Pargyline hydrochloride,,Cardiovascular 'Central Nervous System,Antidepressant 'Antihypertensive,0.162831858
19A07,Prestw-1991,Alclofenac,,Rheumatology,Anti-inflammatory 'Antiarthritic 'Analgesic,0.162395646
04E10,Prestw-289,Pyrilamine maleate,,Allergology 'Central Nervous System 'Respiratory,Antihistaminic 'Antipruritic 'Antitussive 'Sedative,0.161630815
03G04,Prestw-223,Xylometazoline hydrochloride,,Cardiovascular,Nasal Decongestant 'Vasoconstrictor,0.161338496
03H08,Prestw-237,Ofloxacin,,Infectiology,Antibacterial,0.160232301
10G04,Prestw-783,Clofibric acid,,Metabolism,Antilipemic,0.159948127
05C06,Prestw-345,Clenbuterol hydrochloride,,Neuromuscular 'Respiratory,Antiasthmatic 'Bronchodilator 'Tocolytic,0.159464577
11G09,Prestw-868,Acetaminophen,,Central Nervous System,Analgesic 'Antipyretic,0.159461952
02H05,Prestw-154,Josamycin,,Infectiology,Antibacterial,0.158920839
08H10,Prestw-1408,Etoricoxib,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.158768615
10E04,Prestw-763,Meclofenoxate hydrochloride,,Central Nervous System,CNS Stimulant,0.158713059
04A03,Prestw-242,Flavoxate hydrochloride,,Metabolism,Antispastic,0.158629315
06F09,Prestw-458,Melatonin,,Central Nervous System 'Endocrinology 'Immunology,Anticonvulsant 'Anti-oxidant 'Immunostimulant,0.158404611
10A09,Prestw-728,Sulfadimethoxine,,Infectiology,Antibacterial,0.157272147
19F08,Prestw-2007,Propanidid,,Central Nervous System,Anesthetic,0.156976699
05C08,Prestw-347,Thioguanosine,,Metabolism 'Oncology,Antineoplastic ,0.156538771
16G11,Prestw-1765,Latanoprost,,Ophthalmology,Antiglaucoma,0.15550494
05B10,Prestw-339,Guanfacine hydrochloride,,Cardiovascular,Antihypertensive,0.155417212
08H04,Prestw-633,Thiorphan,,Gastroenterology,Antidiarrheal,0.155390087
02H08,Prestw-157,Gallamine triethiodide,,Neuromuscular,Muscle relaxant 'Antineoplastic,0.15413745
05F03,Prestw-372,Debrisoquin sulfate,,Cardiovascular,Antihypertensive,0.154051836
07F11,Prestw-540,Clorsulon,,Infectiology,Antihelmintic,0.153853312
16G07,Prestw-1781,Alosetron hydrochloride,,Central Nervous System,Antidiarrheal,0.151955274
19E05,Prestw-2058,Empagliflozin,,Endocrinology,Antidiabetic,0.150191234
02D07,Prestw-116,Naltrexone hydrochloride dihydrate,,Central Nervous System,Analgesic,0.149607726
11A05,Prestw-804,Spectinomycin dihydrochloride,,Metabolism,Antibacterial,0.149426018
05B05,Prestw-334,Sulfisoxazole,,Infectiology,Antibacterial,0.148882911
16E02,Prestw-1730,Cefuroxime axetil,,Infectiology,Antibacterial,0.145625037
12B02,Prestw-1486,Cortisol acetate,,Metabolism,Anti-inflammatory,0.144997459
12H10,Prestw-959,Proparacaine hydrochloride,,Central Nervous System,Anesthetic,0.14480924
02A07,Prestw-86,Acyclovir,,Metabolism,Antiviral,0.144389484
19G04,Prestw-1981,Mofezolac,,Central Nervous System,Anti-inflammatory,0.144206831
13B06,Prestw-975,Naftopidil dihydrochloride,,Cardiovascular,Antihypertensive,0.143640774
09C02,Prestw-1317,Pranlukast,,Respiratory,Antiasthmatic,0.142333729
02A04,Prestw-83,Edrophonium chloride,,Diagnostic,Anti-fatigue,0.141889076
19E06,Prestw-2057,Crisaborole,,Dermatology,Anti-inflammatory 'Antipruritic,0.141379554
19F11,Prestw-1989,Flupirtine,,Neuromuscular 'Central Nervous System,Antiarthritic 'Analgesic,0.14123819
11D09,Prestw-838,Iocetamic acid,,Diagnostic,Contrastant,0.14110726
17D02,Prestw-1853,Efaroxan hydrochloride,,Metabolism 'Central Nervous System,Antidiabetic 'Antidepressant,0.140444615
15C05,Prestw-1261,Carprofen,,Metabolism,Anti-inflammatory,0.140435526
12D03,Prestw-912,Monobenzone,,Dermatology,Antineoplastic,0.140179059
19H02,Prestw-1946,Vandetanib,,Oncology,Anti-angiogenesis 'Antineoplastic,0.139259096
15A10,Prestw-1478,Rifaximin,,Infectiology,Antibacterial,0.13864849
18D04,Prestw-1976,Trandolapril,,Cardiovascular,Antihypertensive,0.138270326
05C02,Prestw-341,Furosemide,,Metabolism,Antihypertensive 'Diuretic,0.138106191
10F04,Prestw-773,(D-) Norgestrel,,Endocrinology,Contraceptive,0.137716909
09H07,Prestw-716,Pramoxine hydrochloride,,Neuromuscular,Local anesthetic,0.137602066
05D08,Prestw-357,Amoxicillin,,Metabolism,Antibacterial,0.137082158
10B07,Prestw-736,Cefazolin sodium salt,,Metabolism,Antibacterial,0.136852361
06H05,Prestw-1254,Fentiazac,,Metabolism,Anti-inflammatory,0.136803021
01H06,Prestw-75,Adiphenine hydrochloride,,Neuromuscular,Antispastic,0.136800532
03E05,Prestw-204,Flumequine,,Infectiology,Antibacterial,0.135564159
04C02,Prestw-261,Ethisterone,,Endocrinology,Contraceptive,0.135317659
01H11,Prestw-80,Trimethobenzamide hydrochloride,,Central Nervous System,Antiemetic,0.135158175
11D10,Prestw-839,Ganciclovir,,Metabolism,Antiviral,0.134849111
10B09,Prestw-738,Folinic acid calcium salt,,Hematology,Antianemic,0.134711577
04A02,Prestw-241,Mexiletine hydrochloride,,Cardiovascular 'Neuromuscular,Antiarrhythmic 'Local anesthetic,0.134667334
10A07,Prestw-726,Mephentermine hemisulfate,,Cardiovascular,Antihypotensive 'Vasoconstrictor,0.13462924
06C06,Prestw-1832,Linagliptin,,Metabolism,Antidiabetic,0.134562543
02A11,Prestw-90,Pindolol,,Cardiovascular 'Ophthalmology,Antianginal 'Antiarrhythmic 'Antiglaucoma 'Antihypertensive,0.134097951
02H04,Prestw-153,Didanosine,,Infectiology,Antiviral,0.132358537
01D11,Prestw-40,Niclosamide,,Infectiology,Antihelmintic 'Antifungal 'Antineoplastic,0.132295781
11B07,Prestw-816,Suprofen,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.131720037
10E08,Prestw-767,Guanadrel sulfate,,Cardiovascular,Antihypertensive,0.131623908
05A07,Prestw-326,(L) Methyldopa,,Cardiovascular 'Central Nervous System,Antihypertensive 'Anti-infiammatory,0.131133019
04A06,Prestw-245,Dropropizine,,Respiratory,Antitussive,0.131115558
17D09,Prestw-1865,Flopropione,,Central Nervous System,Antispastic,0.129937856
19F03,Prestw-2036,Nedocromil sodium,,Respiratory,Antiasthmatic,0.129740597
10H11,Prestw-800,Amrinone,,Cardiovascular,,0.1296478
05A02,Prestw-321,Streptomycin sulfate,,Infectiology,Antibacterial,0.129133717
17E05,Prestw-1876,Acetaminosalol,,Central Nervous System,Analgesic,0.129117817
04G10,Prestw-309,Amodiaquin dihydrochloride dihydrate,,Infectiology 'Metabolism,Anti-inflammatory 'Antimalarial 'Anti-infiammatory 'Antineoplastic,0.128164082
03C06,Prestw-185,Aztreonam,,Infectiology,Antibacterial,0.128097345
11H08,Prestw-877,Scopolamine hydrochloride,,Central Nervous System,Antiemetic,0.127904093
07F10,Prestw-539,Thiocolchicoside,,Central Nervous System,Antispastic 'Muscle relaxant,0.127713391
11G02,Prestw-861,Gabapentin,,Central Nervous System,Anticonvulsant,0.125957961
18C10,Prestw-1970,Suplatast Tosylate,,Allergology,Antihistaminic,0.124407441
15G08,Prestw-1180,Docetaxel,,Oncology,Antineoplastic,0.124096908
10B03,Prestw-732,Streptozotocin,,Oncology,Antineoplastic,0.123842982
10B05,Prestw-734,Flumethasone,,Metabolism,Anti-inflammatory,0.123390124
11H03,Prestw-872,Iopromide,,Diagnostic,Contrastant,0.122943365
13F02,Prestw-1011,Flucloxacillin sodium,,Metabolism,Antibacterial,0.122835518
16H07,Prestw-1788,Milnacipran hydrochloride,,Central Nervous System,Antidepressant 'Analgesic,0.121901438
19A02,Prestw-2044,Befunolol,,Ophthalmology,Antiglaucoma,0.121494373
07E07,Prestw-526,Ethionamide,,Infectiology,Antibacterial,0.121165722
14A10,Prestw-1049,Oxyphenbutazone,,Metabolism,Anti-inflammatory,0.120827955
19C06,Prestw-2074,Camostat mesylate,,Gastroenterology,Gastroprokinetic,0.120599069
09C07,Prestw-666,Nisoldipine,,Cardiovascular,Antianginal 'Antihypertensive,0.119931607
06E08,Prestw-447,Hydrocortisone base,,Endocrinology,Anti-inflammatory,0.119428749
10C10,Prestw-749,Isoetharine mesylate salt,,Respiratory,Bronchodilator,0.119026218
14D04,Prestw-1073,Bethanechol chloride,,Neuromuscular,Muscle relaxant,0.118836437
02D11,Prestw-120,Triamcinolone,,Endocrinology 'Immunology,Anti-inflammatory 'Immunosuppressant,0.118696889
02E11,Prestw-130,Dexamethasone acetate,,Endocrinology 'Metabolism,Anti-inflammatory 'Immunosuppressant,0.11818956
03D02,Prestw-191,Midodrine hydrochloride,,Cardiovascular,Antihypertensive,0.117367257
18B03,Prestw-1941,Dalfampridine,,Neuromuscular,Neuroprotectant,0.116798789
12F11,Prestw-1213,Allopurinol,,Metabolism,,0.116651714
02E10,Prestw-129,Pirenzepine dihydrochloride,,Gastroenterology,Antiulcer,0.116124006
05D07,Prestw-356,Adenosine 5'-monophosphate monohydrate,,Cardiovascular,Antiarrhythmic,0.116113879
